601870006400040029900299  19940670000001150208000029 PR-05006000000576278.34170058.7911026826
601840090500090059300593  19847090000006130618000029 NH9/84  000000576225.69170773.7411026826
601840053300010066200662  19942940000009450528000029 05024000000000575177.89171585.9611026826
601840055300010033600336  19857080000006300528000029 NH8/85  000000575469.72171444.0411026826
601840055400060005500496  19887080000001160528000029 NH8/88  000000575493.50171442.0511026826
601840055900000000600006  00000000000002980578000029 NN      000000575552.60171503.3011026826
601840056200000047300473  19937290000000920522210029 29/93   000470575513.58171530.0611026826
601840056500000017800178  00000000000003200528000029 NN      000000575546.10171558.3011026826
601840056700000007300073  19837010000003060528000029 NH1/83  000000575556.48171543.1711026826
601840056800000013700137  00000000000000820572210029 NN      000476575561.40171523.8011026826
601840056800000013700137  00000000000000830578000029 NN      000000575561.40171522.9511026826
601840099000000034300343  00000000000000820638000029 NN      000000576029.60170724.5311026826
601840103800040042000420  00000000000004220618000029 NN      000000575946.14170615.0111026826
601840103800080041700417  00000000000000550638000029 NN      000000575969.22170533.8311026826
601840104300020043700437  00000000000000860602210029 NN      000296575884.36170490.8211026826
601840105100010076900769  19971260000004090628000029 PR-05162000000575916.91170480.1411026826
601840105500000021400214  00000000000004030638000029 NN      000000575961.66170427.8411026826
601840106900000011500115  00000000000000320608000029 NN      000000575916.30170331.2911026826
601840107500000022900229  00000000000002050608000029 NN      000000575875.95170336.5411026826
601840107800010044900449  00000000000000770602210029 NN      000374575840.21170410.2811026826
601840109200000018300668  19897220000000850602210029 NH22/89 000631575901.90170288.9611026826
601840109400000020600206  00000000000000400608000029 NN      000000575905.99170315.4511026826
601840109600000020700207  00000000000000950608000029 NN      000000575884.85170308.8911026826
601840111200030046400464  00000000000006130608000029 NN      000000575812.95170236.1511026826
601840111700000021200212  00000000000000580608000029 NN      000000575998.70170346.0411026826
601840099700000045300453  00000000000000910638000029 NN      000000576032.97170773.4111026826
601840068200070058400584  19867080000008230758000029 NH8/86  000000575601.86170861.4211026826
601840068300030071700717  19937560000005270468000029 56/93   000000575593.97170829.3411026826
601840113700060041000410  19917460000009630608000029 46/91   000000575955.29170161.0911026826
601840113700170019600196  00000000000001060632210029 NN      000796575966.24170100.1611026826
601840113700170019600196  00000000000006860638000029 NN      000000575973.67170106.8511026826
601840115800000035700357  00000000000012800708000029 NN      000000576234.83170086.3711026826
601840116100010041200412  19867150000012180708000029 NH15/86 000000576148.27170055.0411026826
601840107800030045800458  00000000000000910602210029 NN      000376575833.36170384.8711026826
601840107900010043900439  19943260000000960602210029 05027000000406575852.52170378.3511026826
601840107900010043900439  19943260000002970608000029 05027000000000575850.96170369.2311026826
601840107900040044100441  00000000000005000608000029 NN      000000575827.77170350.4511026826
601840121400000015600156  00000000000009270388000029 NN      000000576704.34170363.5611026826
601840075400000022800228  19961270000001930638000029 05026000000000576022.62170921.0111026826
601840075800000012600126  19961270000003290638000029 05026000000000576064.87170858.6811026826
601840076300000005800058  00000000000001890638000029 NN      000000576085.67170905.2811026826
601840070600000079100791  19982470000000570638000029 PR-05281000000575943.15171006.4911026826
601860018100020020800208  19847120000000210662210029 NH12/84 000242578096.16169213.8211026826
601860018300040018700187  19867030000008280668000029 NH3/86  000000578054.41169147.8911026826
601840092400000025400254  00000000000001010638000029 NN      000000576085.37170786.9811026826
601840092600000023900239  00000000000000140638000029 NN      000000576101.92170755.6311026826
601860021300000001700086  00000000000000760678000029 NN      000000578020.78168535.3811026826
601860023200000002400024  00000000000033050638000029 NN      000000577954.27168646.5711026826
601860023300000002400024  00000000000000500678000029 NN      000000578007.57168751.1811026826
601840093400030073900739  19950600000002100308000029 PR-05067000000576025.24170347.8911026826
601860028900020004800048  00000000000020180498000029 NN      000000577518.38168757.8211026826
601860029900000000200018  00000000000052120388000029 NN      000000577300.43168804.4011026826
601860030100000001700031  00000000000062980388000029 NN      000000577282.92168863.7711026826
601860031100000003600057  00000000000060640388000029 NN      000000577088.93169161.1011026826
601860035600020006200062  00000000000102720638000029 NN      000000577778.88168700.2111026826
601860036300030013100174  00000000000030160638000029 NN      000000577875.42169009.1811026826
601860019400000012800128  00000000000000400528000029 NN      000000578013.27168752.9611026826
601860019500020012800128  00000000000019560638000029 NN      000000578017.64168787.1411026826
601860020000000001700031  00000000000000720678000029 NN      000000578047.68168738.1411026826
601860038000000018500185  19847060000004470668000029 NH6/84  000000577830.41169387.5111026826
601860039300000018800188  19837030000005570668000029 NH3/83  000000577811.78169451.2011026826
601860025300000001700031  00000000000001260468000029 NN      000000577726.51168415.0311026826
601840098200000006800068  00000000000001010638000029 NN      000000575978.97170683.1411026826
601840098200000006800068  00000000000002450638000029 NN      000000575978.97170683.1411026826
601860041800000000200002  19847110000010100398000029 NH11/84 000000577641.98169468.9411026826
601860042100000000300099  19951080000022100678000029 PR-05016000000577484.59169401.1111026826
601860032300000000300129  19951080000001110468000029 PR-05016000000577261.19169083.9711026826
601860032500020000300161  19951080000001040468000029 PR-05017000000577280.55169069.2311026826
601840100200000033100331  00000000000001330632210029 NN      000224575997.57170812.5611026826
601840100800000005300053  19837010000001330608000029 NH1/83  000000575947.30170836.6811026826
601840101200020008800088  19953200000001300622210029 05047000000218575889.57170820.9011026826
601840101700000037300373  00000000000000970568000029 NN      000000575823.93170760.5711026826
601840101800000005500493  19887080000005240608000029 NH8/88  000000575864.17170772.5911026826
601860039800020002400024  19897020000033030638000029 NH2/89  000000577583.44169184.6611026826
601860040400000003700037  19917180000000830678000029 18/91   000000577650.84169343.2511026826
601840108600000009500095  00000000000000870602210029 NN      000637575931.55170258.0711026826
601860043100020001700031  00000000000037940328000029 NN      000000577055.37169309.7111026826
601930003400000007100071  00000000000020360498000029 NN      000000568503.23169426.1111026826
601900054500020013800170  00000000000047680388000029 NN      000000573319.36170850.6211026826
601900054500010013800170  00000000000043470458000029 NN      000000573293.73171032.5111026826
601900054600010013800173  19897120000019550458000029 NH12/89 000000573319.39171090.1511026826
601900055400000009300093  00000000000006650458000029 NN      000000573254.60170551.8811026826
601920000400000004600046  00000000000015290398000029 NN      000000568941.97169512.2511026826
601920000800000004700047  00000000000011690278000029 NN      000000568988.63169593.4111026826
601920001200000004400044  00000000000016070388000029 NN      000000569024.27169579.8111026826
601920001700000004300043  00000000000030500398000029 NN      000000569050.00169492.1711026826
601920001900000004300043  00000000000003490498000029 NN      000000569024.36169487.5311026826
601920002200000009000090  00000000000009000398000029 NN      000000569132.26169572.7411026826
601920002300020004200042  19960470000001920128000029 05008000000000569114.42169624.6511026826
601920002600020004300043  00000000000004890478000029 NN      000000569235.91169455.5611026826
601920002800010004300043  00000000000011190328000029 NN      000000569249.99169474.7711026826
601920003300010004100041  00000000000114650398000029 NN      000000569380.91169553.5311026826
601930005500160009100091  00000000000004540328000029 NN      000000569647.02169492.6911026826
601900060000000021500215  19867140000071330388000029 NH14/86 000000571878.31170846.3111026826
601930147500000002900294  19950830000000750192210029 05017000000278570655.56168147.8611026826
601930147600020062700627  19972760000001880512210029 05054000000264570624.57168155.9411026826
601940009400000000300003  00000000000063790438000029 NN      000000573027.57167716.6711026826
601940010500000009700097  00000000000003690468000029 NN      000000573033.60167281.7211026826
601940011300020002900029  00000000000021180468000029 NN      000000572814.24167667.3411026826
601930104900020048300483  00000000000022830408000029 NN      000000571897.74168343.1911026826
601930104900050039800398  19847270000000980202210029 NH27/84 000572571850.33168337.2411026826
601930105000000048300483  00000000000025560398000029 NN      000000571898.29168364.2611026826
601930105600010039700397  19973220000079310328000029 06006000000000571683.87168418.4611026826
601930105600020012000120  00000000000054570328000029 NN      000000571713.47168359.0111026826
601930106100020052600526  19897310000004720488000029 NH31/89 000000571655.80168383.7011026826
601930107100030000800008  00000000000009050438000029 NN      000000571679.88168076.9811026826
601930165200000004900049  19937170000001160162210029 17/93   000082568472.54168861.9611026826
601930165200000004900049  19937170000002360162210029 17/93   000129568423.34168870.1711026826
601930165300000004900049  19937170000001100522210029 17/93   000083568470.30168805.0311026826
601930166500000003000030  19937170000006760188000029 17/93   000000568355.07168807.3211026826
601930166600000003000030  19937170000035750468000029 17/93   000000568382.12168827.5611026826
601930167400000014500145  19937170000000460592210029 17/93   000051568345.64168637.6411026826
601930167400000014500145  19937170000000580592210029 17/93   000051568340.36168623.2211026826
601930076000000007200072  19982890000013780758000029 06022000000000570848.42167175.0911026826
601930109600110052000520  19847080000001930178000029 NH8/84  000000571974.81168112.8711026826
601930171500000009800126  19961700000007560188000029 05032000000000569924.69168654.7811026826
601940012300000002900029  00000000000009070458000029 NN      000000572850.96167399.9011026826
601930061000020064800648  19973090000065400218000029 PR-05141000000570341.53167543.1311026826
601930061300000005500063  00000000000070350268000029 NN      000000570201.21167611.9011026826
601930062000080012900129  00000000000033740408000029 NN      000000569812.83167553.2411026826
601930062200020015400154  00000000000048200328000029 NN      000000570016.71167691.0111026826
601930062200030015400209  19917240000017600498000029 24/91   000000570071.82167626.8811026826
601920009300010012000153  00000000000047700328000029 NN      000000570805.78169219.4911026826
601920009300040012600171  19950010000010120328000029 PR-05019000000570529.54169539.6811026826
601920009300100005800058  00000000000027150458000029 NN      000000571066.56169045.8411026826
601920009300350012000124  19867090000000360208000029 NH9/86  000000570680.39169284.9211026826
601920009600040001000010  19960110000095970328000029 05007000000000570961.52169578.1311026826
601920010400020021000210  19917160000021850558000029 16/91   000000570818.89169548.3711026826
601920011100020012600126  19981600000000450452210029 06002000000147570632.34169448.8811026826
601920011100020012600126  19981600000001380452210029 06002000000148570659.05169464.9611026826
601930075900020007200072  19897620000007840598000029 NH62/89 000000570800.17167174.5611026826
601920012800000021600216  19940010000062220388000029 PR-05001000000570786.67169768.2211026826
601920012900000001200084  19981610000036070388000029 PR-05043000000570800.35169773.3511026826
601920013500000005300117  00000000000062220388000029 NN      000000570864.31169771.7911026826
601880032800020031400314  19972460000000140598000029 05043000000000573947.33170405.8611026826
601880033200040032900329  19847130000002280598000029 NH13/84 000000574084.29170168.2511026826
601880033200060000100142  19961640000012990498000029 PR-05055000000574134.62170192.3211026826
601930039900000000900009  00000000000012910498000029 NN      000000569076.52167303.8411026826
601930040900000013000130  19983220000016170598000029 06023000000000568943.44167474.8911026826
601930041800000005500156  19982890000001110598000029 06022000000000568973.42167531.7211026826
601930042300000005500055  19982890000000940598000029 06022000000000568998.06167539.3411026826
601840026400000033400334  00000000000003780638000029 NN      000000575859.17171558.2911026826
601840027200020059500595  19980820000000540632210029 06007000000555575813.51171638.8011026826
601840028200000034100341  19837010000007080638000029 NH1/83  000000575917.74171644.0311026826
601840030000000013600136  00000000000000530638000029 NN      000000575886.25171757.4311026826
601840030000000013600136  00000000000005000638000029 NN      000000575886.25171757.4311026826
601840078700030067500675  19937300000004190638000029 30/93   000000576016.54171251.4311026826
601860001300000003000030  00000000000021650328000029 NN      000000578859.31169055.3911026826
601860002100010007200142  00000000000009570568000029 NN      000000578763.09168928.8511026826
601860002300010007200107  00000000000008780568000029 NN      000000578758.87168957.5411026826
601860002300020007200107  00000000000003670568000029 NN      000000578714.50168940.4211026826
601860002700020004900157  00000000000007550568000029 NN      000000578679.27168979.6311026826
601860002900010021900219  19972210000012620498000029 PR-05056000000578658.48168991.0011026826
601860004900020006500065  00000000000003600388000029 NN      000000578603.55169158.1311026826
601860055900000000200002  19847110000051450708000029 NH11/84 000000577943.95169532.3911026826
601860057500020003800038  19927070000004940668000029 7/92    000000578021.93169402.3711026826
601930172600000057500575  19937170000001420512210029 17/93   000479570194.52168391.6411026826
601930172600000057500575  19937170000009230518000029 17/93   000000570199.14168401.2211026826
601930031900000001400014  19937360000001860202210029 36/93   000072568869.45167691.3411026826
601930032000000011500115  19982890000001550538000029 06022000000000568810.53167681.0111026826
601930032000000011500115  19982890000000290538000029 06022000000000568810.53167681.0111026826
601940013800000001100114  19952920000005470398000029 PR-05021000000572811.00167115.2311026826
601930090600070000600118  19981550000003420468000029 PR-05135000000570088.44169183.9211026826
601930140400000015300153  19917250000000490172210029 25/91   000277571457.56167282.0311026826
601930140700000044800448  19917250000008520188000029 25/91   000000571658.12167115.0311026826
601930140800000044800448  19917250000015170468000029 25/91   000000571664.97167091.2911026826
601930142200000044100467  19937350000027470498000029 35/93   000000571686.40166801.3011026826
601930144500000050400504  19937350000101140568000029 35/93   000000571284.16167206.3211026826
601930144600000007200072  19937320000223740388000029 32/93   000000571163.75167247.4011026826
601930144900000007200072  19937320000075300328000029 32/93   000000571061.82167084.8011026826
601930145000000007200072  19940940000486030568000029 05003000000000570931.81167210.5011026826
601920010300030012500125  00000000000005340498000029 NN      000000570808.58169510.8711026826
601930145900000010200102  19917250000000520582210029 25/91   000376570592.76167515.3711026826
601930146000000010200102  19917250000000460462210029 25/91   000382570596.22167461.2811026826
601940008800000000300003  00000000000222450498000029 NN      000000572835.52167834.6511026826
601930179700000009200092  19927170000270690568000029 17/92   000000569498.99168452.9111026826
601930181600000006900069  19937170000001630178000029 17/93   000000569146.19168471.9111026826
601930181700000006900069  19937170000006180598000029 17/93   000000569139.53168514.5011026826
601930181800000006900069  19937170000000600468000029 17/93   000000569105.09168486.3411026826
601930183000000037600376  19927200000025080678000029 20/92   000000568817.50168429.1811026826
601930038800000003400034  00000000000000500498000029 NN      000000569001.22167295.5911026826
601880034700000000100173  19961640000000580498000029 PR-05056000000574154.50170445.8311026826
601870034100020045600456  19950090000009830538000029 05022000000000575949.00169217.6711026826
601840123800020041600416  00000000000004400328000029 NN      000000575680.03170834.8011026826
601870034800010040600406  19877270000006100548000029 NH27/87 000000575959.69169137.2911026826
601870070400010004800048  19897490000000700468000029 NH49/89 000000575581.24169133.3111026826
601840030300000058000580  00000000000001710638000029 NN      000000575862.60171731.9311026826
601880034800000000100173  19961640000007800528000029 PR-05056000000574223.30170409.9111026826
601880035400030000100173  19961640000027270648000029 PR-05056000000574117.42170242.8811026826
601880035400050000100173  19961640000031020688000029 PR-05056000000574218.56170285.1511026826
601880035500010000100143  19961640000037900678000029 PR-05055000000574333.49170395.6111026826
601880035500100000100143  19961640000020490498000029 PR-05055000000574382.91170350.8111026826
601870034900020039200392  19917260000001260542210029 26/91   000254575910.50169103.9211026826
601870034900020039200392  19917260000003740548000029 26/91   000000575911.79169104.8211026826
601870035000020036100361  19917260000009030568000029 26/91   000000575895.89169076.0611026826
601860004100000001600056  00000000000003270568000029 NN      000000578584.51169060.0911026826
601870071400040047300473  19877020000000380532210029 NH2/87  000320575551.41169228.4111026826
601860057700020012500125  19937140000009590668000029 14/93   000000578053.12169391.4411026826
601840032300000048700487  00000000000001640608000029 NN      000000575666.86171783.5911026826
601840032400000005500492  19887080000034650668000029 NH8/88  000000575771.60171768.3811026826
601840033500020019400194  00000000000002910658000029 NN      000000575719.26171712.8911026826
601840033600000025700257  00000000000000970678000029 NN      000000575736.15171692.6611026826
601930033600070002200022  19917360000003930468000029 36/91   000000568287.59167339.8711026826
601930076300050007200072  19897620000094250528000029 NH62/89 000000570784.03167152.4011026826
6018800132001070007000000020133290000002380558000029 06168000100000574655.91170519.2711026826
601930144000000013300437  19937320000065610468000029 32/93   000000571158.69167047.7911026826
601930153700000003200032  19937170000000520192210029 17/93   000470570362.48169042.4511026826
601930158100000009100273  19937170000008170598000029 17/93   000000569546.35169536.7311026826
601940003700000001100114  19952920000028880458000029 PR-05021000000572581.86166922.0411026826
601940004400020001300015  00000000000011760498000029 NN      000000572571.73167164.5911026826
601940004600000001300013  00000000000021980398000029 NN      000000572641.78167051.3711026826
601940004700000002500025  00000000000129930388000029 NN      000000572687.82167051.6911026826
601940004800010013300133  00000000000116420388000029 NN      000000572733.90167322.8811026826
601940005000020013300133  19952080000003470148000029 05004000000000572594.74167303.6311026826
601940006100010001000010  19887190000007020598000029 NH19/88 000000572532.12167425.8311026826
601940006400010001000010  19960030000071910388000029 05006000000000572745.56167430.1811026826
601930102300010013600309  19971330000002060598000029 05042000000000571999.45168929.4411026826
601930102300020013600136  19982890000028720568000029 06022000000000572045.95168927.0411026826
601930102300020013600136  19982890000001370562210029 06022000000557572028.63168950.5611026826
601930102400010046300463  00000000000089500598000029 NN      000000572050.96168819.1511026826
601870085300010021900219  19837130000009060598000029 NH13/83 000000574329.29169417.5411026826
601870085300020021900219  00000000000065260398000029 NN      000000574383.02169500.0711026826
601880049800020016400164  00000000000001330598000029 NN      000000573653.93169886.9911026826
6019400175000300071000000020132330000084590388000029 06052000000000573348.86166982.2011026826
601880049800040016400164  19972460000000840188000029 05043000000000573619.41169865.1511026826
601880049800040016400164  19972460000005690188000029 05043000000000573619.41169865.1511026826
601870043000010051400514  19927070000022940568000029 7/92    000000575944.51168164.9511026826
601870045400000000500105  19953150000035800668000029 PR-05063000000575767.77168176.3011026826
601870075900030010000100  19927160000006940078000029 16/92   000000574993.87169125.0211026826
601870076000020010000100  00000000000036080568000029 NN      000000574884.43169200.2411026826
601870076000030010000100  00000000000010880568000029 NN      000000574942.14169127.0911026826
601870076100000010000100  00000000000124000568000029 NN      000000574794.86169134.6211026826
601870076300030010300103  00000000000145950638000029 NN      000000574782.70169290.0611026826
601870077200000010300103  19887110000006850192210029 NH11/88 000238574852.88169360.1511026826
601880003200180020500205  19972460000006160582210029 05043000000399575775.43170292.6811026826
601880035500080000100143  19961640000006070498000029 PR-05055000000574467.58170393.3811026826
601880004600030025900259  00000000000015000568000029 NN      000000575513.76170419.9611026826
601880004800010039400394  00000000000005000528000029 NN      000000575494.46170329.8811026826
601880005100020018200182  00000000000015900468000029 NN      000000575425.97170569.8711026826
601880005100040018100181  19827030000060920498000029 NH3/82  000000575334.41170534.5311026826
6019400486000600235000000020132330000000810228000029 06052000100000573405.39166983.9811026826
6019400488000100235000000020132330000033700228000029 06052000000000572853.21166256.1611026826
601880043300000025000250  19972460000040620528000029 05043000000000574719.22170068.2211026826
601880043400060025000250  00000000000039880498000029 NN      000000574837.60170113.7111026826
601880044400000009800098  19960530000001580182210029 05023000000293575000.65170186.0811026826
601880044900010010400104  00000000000278090398000029 NN      000000574750.67170000.1511026826
601870047600020034100341  19827260000007180208000029 NH26/82 000000575615.47168430.9911026826
601870079200000000500018  19951380000019750708000029 PR-05045000000574669.08169144.1211026826
601870079400040004400044  19917350000000540218000029 35/91   000000574732.46169049.6811026826
601870080000010050200502  19897500000004830218000029 NH50/89 000000574547.00169012.2411026826
601870081000000002300023  00000000000034850678000029 NN      000000574346.92168998.3011026826
601870081600020002300023  19927160000001190552210029 16/92   000475574346.77169039.7711026826
601880005400020018100181  00000000000004780498000029 NN      000000575174.20170486.8411026826
601880036300060032400324  19982490000005250218000029 PR-05111000000574351.00170155.0311026826
601880036400000036100361  00000000000047160468000029 NN      000000574416.38170215.9611026826
601880036600010000100081  19953460000005440468000029 PR-05047000000574325.43170176.3111026826
601840034900000017100171  00000000000003770608000029 NN      000000575679.60171641.0411026826
601840079900250056200562  19940950000002450632210029 05003000001207576320.42170953.2611026826
601840079900290056200562  19940950000018640632210029 05003000001190576229.48171071.0911026826
601840079900310056200562  19940950000000350638000029 05003000000000576231.48171128.8211026826
601930112800000007900079  00000000000026230468000029 NN      000000572454.53168014.9111026826
601930113100000000100001  00000000000054600408000029 NN      000000572415.51167920.5611026826
601930175500000015400154  19917370000008300598000029 37/91   000000570092.98167894.9011026826
601940005100000013300133  00000000000012120598000029 NN      000000572617.30167290.9911026826
601930178600000009800126  19961700000001400522210029 05032000000410569824.94168656.0711026826
601930035300000007500075  19927060000000700188000029 6/92    000000568805.02167623.8311026826
601930037300000006000060  00000000000011040598000029 NN      000000568929.83167270.6011026826
601930038200000000900076  00000000000004710498000029 NN      000000568950.44167304.9711026826
601930103000000013600136  00000000000021400538000029 NN      000000572084.10168954.6211026826
601870085400060040000400  19952690000003200188000029 05032000000000574415.56169439.8811026826
601880003000010006900069  00000000000003060468000029 NN      000000575488.22170575.6411026826
601880003200080025900259  00000000000011900568000029 NN      000000575604.64170345.8411026826
601880049700000016400164  00000000000020820558000029 NN      000000573652.38169914.3411026826
601870019300050011100111  19951350000001400642210029 05029000000556576332.87168664.1911026826
601870051600000018200182  00000000000044060328000029 NN      000000575928.12168741.8811026826
601870086000030002800028  19897730000024380468000029 NH73/89 000000574537.50169756.6611026826
601870086100030018400184  00000000000112050468000029 NN      000000574665.87169851.7811026826
601870086100050018300183  19927160000000860078000029 16/92   000000574691.11169740.6311026826
601870086300030018400184  00000000000033700618000029 NN      000000574624.20169731.0311026826
601870086400020022500225  19950120000010000468000029 05020000000000574839.58169741.8811026826
601870086400060022500225  19950120000001180188000029 05020000000000574813.04169705.6511026826
601870086400060022500225  19950120000014590188000029 05020000000000574813.04169705.6511026826
601870086800020018400184  00000000000004570468000029 NN      000000574691.21169888.5211026826
601870087300010016600166  00000000000094130388000029 NN      000000574994.90169964.6811026826
601880042900000000100065  19953460000011410468000029 PR-05047000000574960.81170281.2811026826
601880011300010017700177  00000000000021950428000029 NN      000000575059.69170775.4511026826
601880011600030000100084  19950720000041880598000029 PR-05024000000574945.90170708.6111026826
601880012600010027900279  19937390000007090428000029 39/93   000000574883.48170637.2011026826
601880013700000040300403  19927030000006280178000029 3/92    000000574693.14170533.1211026826
601870052600050016300163  19927160000001980542210029 16/92   000365575947.88169026.0811026826
601870088000010000500054  19952890000159320668000029 PR-05084000000574906.57169701.0711026826
601870088300080017600176  19927160000002990582210029 16/92   000029575196.64169878.3611026826
601870088300090042200422  19961140000009670638000029 05040000000000575133.33169733.1811026826
601870089500010007300073  00000000000019650678000029 NN      000000575269.57169693.8511026826
601880005800110041000410  19973630000004780468000029 PR-05114000000575438.36170241.5611026826
601880006000030010500105  00000000000005380498000029 NN      000000575317.25170232.9211026826
601880006200030038300383  19960030000001070562210029 05019000000367575493.23170224.4611026826
601880006200040038400384  19847260000005690568000029 NH26/84 000000575487.83170184.1711026826
601880006200090041000410  19973650000007000468000029 PR-05115000000575456.37170257.7011026826
601840082100020056200568  19971270000005400638000029 05094000000000576220.37170884.8711026826
601840082700000002300024  00000000000001320228000029 NN      000000576302.24170654.9811026826
601840082800000002300024  00000000000000280708000029 NN      000000576299.11170647.6211026826
601860007800020019500195  19951040000003950198000029 05008000000000578226.21169303.4811026826
601860007900000002700027  00000000000025140598000029 NN      000000578264.50169195.2911026826
601860008800000002400024  00000000000001650328000029 NN      000000578325.71169095.0611026826
601860059100020019300193  19942450000005580668000029 05006000000000578076.17169353.9011026826
