FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C;IDAGLO_KAN;IMEAGLO_KA;IDAGLO_VOD;IMEAGLO_VO
34;HS;11599133;36; ;36;16275735;10092868;11026826;21432237;10252776;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574289;165393;0; ;0; 
35;HS;11599249;44;A;44A;16275735;10092868;11026826;21432237;10252911;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574781;165435;0; ;0; 
36;HS;11599281;45;A;45A;16275735;10092868;11026826;21432237;10252911;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574784;165350;0; ;0; 
37;HS;11599389;54; ;54;16275735;10092868;11026826;21432237;10252911;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575058;164612;0; ;0; 
38;HS;11599451;60; ;60;16275735;10092868;11026826;21432237;10252911;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574990;165475;0; ;0; 
39;HS;11599591;68; ;68;16275735;10092868;11026826;21432237;10252911;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575072;166166;0; ;0; 
40;HS;19137031;1;Z;1Z;16184896;10092752;11026826;21429392;10252636;2016-01-06 0:00:00;2016-01-06 0:00:00;V;576165;170777;3064;Gornja Radgona;3064;Črešnjevci
41;HS;19136078;10;C;10C;16275875;10093007;11026826;21429392;10252954;2014-06-02 0:00:00;2014-06-02 0:00:00;V;573251;165940;0; ;0; 
42;HS;11587968;4; ;4;16184799;10092752;11026826;21429392;10253284;2008-12-03 0:00:00;2008-12-03 0:00:00;V;576001;171366;3064;Gornja Radgona;3064;Črešnjevci
43;HS;11587534;18; ;18;16184756;10092752;11026826;21429392;10253233;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575755;171345;3064;Gornja Radgona;3064;Črešnjevci
44;HS;11587640;28; ;28;16184756;10092752;11026826;21429392;10253233;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575503;171447;3064;Gornja Radgona;0; 
45;HS;11588395;21; ;21;16184802;10092752;11026826;21429392;10253276;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576083;171370;3064;Gornja Radgona;3064;Črešnjevci
46;HS;11588867;7; ;7;16184837;10092752;11026826;21429392;10253268;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576065;171203;3064;Gornja Radgona;3064;Črešnjevci
47;HS;11588948;12; ;12;16184845;10092752;11026826;21429392;10253098;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576359;170017;3064;Gornja Radgona;3064;Črešnjevci
48;HS;11590055;2; ;2;16184888;10092752;11026826;21429392;10252679;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576050;170924;3064;Gornja Radgona;3064;Črešnjevci
49;HS;11590110;12; ;12;16184888;10092752;11026826;21429392;10252679;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575916;170708;3064;Gornja Radgona;0; 
50;HS;11590152;4; ;4;16184896;10092752;11026826;21429392;10252636;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576174;170741;3064;Gornja Radgona;3064;Črešnjevci
51;HS;11592686;2; ;2;16185124;10092752;11026826;21429392;10253055;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576335;170889;3064;Gornja Radgona;3064;Črešnjevci
52;HS;11592902;6; ;6;16185159;10092752;11026826;21429392;10257204;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576813;169835;3064;Gornja Radgona;0; 
53;HS;11593224;2;A;2A;16185205;10092752;11026826;21429392;10252652;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576013;170550;3064;Gornja Radgona;0; 
54;HS;11593445;2; ;2;16185221;10092752;11026826;21429392;10252628;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575768;171034;3064;Gornja Radgona;3064;Črešnjevci
55;HS;11593526;7; ;7;16185230;10092752;11026826;21429392;10252687;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575433;171140;3064;Gornja Radgona;3064;Črešnjevci
56;HS;11593534;8; ;8;16185230;10092752;11026826;21429392;10252687;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575405;171168;3064;Gornja Radgona;3064;Črešnjevci
57;HS;11593984;4; ;4;16185302;10092752;11026826;21429392;10257212;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576561;170279;3064;Gornja Radgona;3064;Črešnjevci
58;HS;11594204;12; ;12;16275620;10092779;11026826;21432237;10255023;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574088;163202;0; ;0; 
59;HS;11594212;13; ;13;16275620;10092779;11026826;21432237;10255023;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574135;163355;0; ;0; 
60;HS;11594301;21; ;21;16275620;10092779;11026826;21432237;10255023;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574677;162756;0; ;0; 
61;HS;11594336;24; ;24;16275620;10092779;11026826;21432237;10255023;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574426;161724;0; ;0; 
62;HS;11634788;7; ;7;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569948;169054;0; ;0; 
63;HS;11634818;10;A;10A;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569992;168708;0; ;0; 
64;HS;11634893;15;A;15A;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571531;168920;0; ;3309;Spodnja Ščavnica
65;HS;11634915;16; ;16;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571515;168880;0; ;0; 
66;HS;11634974;19;B;19B;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571251;167927;0; ;0; 
67;HS;11635016;21;A;21A;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571051;167914;0; ;0; 
68;HS;11635059;22; ;22;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571290;167854;0; ;0; 
69;HS;11635164;33; ;33;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571896;168209;0; ;0; 
70;HS;11635288;40; ;40;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571976;167685;0; ;0; 
71;HS;11635300;42;A;42A;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572011;167901;0; ;0; 
72;HS;11635377;44;B;44B;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572334;167654;0; ;0; 
73;HS;11635415;45;A;45A;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572215;167856;0; ;0; 
74;HS;11635512;50; ;50;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572664;167819;0; ;0; 
75;HS;11635601;57;B;57B;16276286;10093414;11026826;21429392;10253004;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572313;167117;0; ;0; 
76;HS;11635865;77; ;77;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;570727;167629;0; ;0; 
77;HS;11635873;78; ;78;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;570456;167375;0; ;0; 
78;HS;11635903;81;B;81B;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;570560;167911;0; ;0; 
79;HS;11635954;85; ;85;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569508;168001;0; ;0; 
80;HS;19131386;10;A;10A;16276049;10093171;11026826;21432237;10259371;2009-02-02 0:00:00;2009-02-02 0:00:00;V;576979;162637;0; ;0; 
81;HS;19130398;7;A;7A;16276103;10093236;11026826;21429392;10253144;2007-08-06 0:00:00;2007-08-06 0:00:00;V;572038;169250;0; ;0; 
82;HS;11588352;18; ;18;16184802;10092752;11026826;21429392;10253284;2008-11-25 0:00:00;2008-11-25 0:00:00;V;576187;171400;3064;Gornja Radgona;0; 
83;HS;19129942;11; ;11;16276197;10093333;11026826;21432237;10252938;2015-09-29 0:00:00;2015-09-29 0:00:00;V;571731;165100;0; ;0; 
84;HS;11620094;23; ;23;16276146;10093287;11026826;21429392;10253012;2014-02-25 0:00:00;2014-02-25 0:00:00;V;574869;170014;0; ;0; 
85;HS;11636632;19; ;19;16276308;10093449;11026826;21432237;10255015;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575525;161104;0; ;0; 
86;HS;11636659;20; ;20;16276308;10093449;11026826;21432237;10255015;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575398;161190;0; ;0; 
87;HS;11636683;23; ;23;16276308;10093449;11026826;21432237;10255015;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575076;160894;0; ;0; 
88;HS;11636713;25; ;25;16276308;10093449;11026826;21432237;10255015;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576327;161029;0; ;0; 
89;HS;11638112;7; ;7;16276359;10093481;11026826;21432237;10255180;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575399;163145;0; ;0; 
90;HS;11638287;4; ;4;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576158;165067;0; ;0; 
91;HS;11638295;5; ;5;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576164;164998;0; ;0; 
92;HS;11638317;7; ;7;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576048;164976;0; ;0; 
93;HS;11638325;8; ;8;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576139;164931;0; ;0; 
94;HS;11638465;20;A;20A;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575782;164509;0; ;0; 
95;HS;11638473;20;B;20B;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575780;164487;0; ;0; 
96;HS;11638546;26; ;26;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576059;164462;0; ;0; 
97;HS;11638597;30;A;30A;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576121;164091;0; ;0; 
98;HS;11638627;31;A;31A;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576151;164183;0; ;0; 
99;HS;11638643;32; ;32;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575958;164317;0; ;0; 
100;HS;11638686;36; ;36;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575980;164149;0; ;0; 
101;HS;11638694;37; ;37;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575956;164143;0; ;0; 
102;HS;11638716;39;A;39A;16276367;10093490;11026826;21432237;10255171;2016-06-02 0:00:00;2016-06-02 0:00:00;V;576069;164043;0; ;0; 
103;HS;11642802;2; ;2;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;570221;166926;0; ;0; 
104;HS;11642870;8;A;8A;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569770;166777;0; ;0; 
105;HS;11642900;10; ;10;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569754;166806;0; ;0; 
106;HS;11642926;12;A;12A;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569707;166881;0; ;0; 
107;HS;11642942;13;A;13A;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569589;166995;0; ;0; 
108;HS;11643230;37; ;37;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569253;166935;0; ;0; 
109;HS;11643329;42; ;42;16276456;10093597;11026826;21429392;10252890;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569076;166812;0; ;0; 
110;HS;11643574;18; ;18;16276464;10093619;11026826;21429392;10252784;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574941;167397;0; ;0; 
111;HS;11643779;32; ;32;16276464;10093619;11026826;21429392;10252784;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574324;167182;0; ;0; 
112;HS;11643795;34; ;34;16276464;10093619;11026826;21429392;10252784;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574241;167073;0; ;0; 
113;HS;11643868;40;A;40A;16276464;10093619;11026826;21429392;10252784;2016-06-02 0:00:00;2016-06-02 0:00:00;V;574131;166940;0; ;0; 
114;HS;11643949;48; ;48;16276464;10093619;11026826;21429392;10252784;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573960;166745;0; ;0; 
115;HS;11643213;36;A;36A;16276456;10093597;11026826;21429392;10252890;2013-02-25 0:00:00;2013-02-25 0:00:00;V;569235;166992;0; ;0; 
116;HS;11588328;15; ;15;16184802;10092752;11026826;21429392;10253225;2015-10-29 0:00:00;2015-10-29 0:00:00;V;576237;171291;3064;Gornja Radgona;3064;Črešnjevci
117;HS;11606601;43;A;43A;16275891;10093023;11026826;21432237;10255228;2016-06-02 0:00:00;2016-06-02 0:00:00;V;571042;163833;0; ;0; 
118;HS;11606709;5;C;5C;16275905;10093031;11026826;21429392;10253306;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573592;170667;0; ;0; 
119;HS;11606717;5; ;5;16275905;10093031;11026826;21429392;10253306;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573653;170704;0; ;0; 
120;HS;11606903;12;B;12B;16275905;10093031;11026826;21429392;10253306;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573257;170316;3351;Lomanoše;3351;Lomanoše
121;HS;11607284;40;B;40B;16275905;10093031;11026826;21429392;10253306;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572577;169979;3351;Lomanoše;0; 
122;HS;11607411;47;A;47A;16275905;10093031;11026826;21429392;10253306;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572068;169020;0; ;0; 
123;HS;11607462;50; ;50;16275905;10093031;11026826;21429392;10253306;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572606;169027;0; ;0; 
124;HS;11643566;17; ;17;16276464;10093619;11026826;21429392;10252784;2016-04-18 0:00:00;2016-04-18 0:00:00;V;574982;167340;0; ;0; 
125;HS;11604099;4; ;4;16275832;10092973;11026826;21432237;10255279;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572198;161887;0; ;0; 
126;HS;11604102;5; ;5;16275832;10092973;11026826;21432237;10255279;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572649;161715;0; ;0; 
127;HS;11604200;14; ;14;16275832;10092973;11026826;21432237;10255279;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572796;161330;0; ;0; 
128;HS;11604463;35;A;35A;16275832;10092973;11026826;21432237;10255279;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573273;162521;0; ;0; 
129;HS;11604480;36;A;36A;16275832;10092973;11026826;21432237;10255279;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573428;162486;0; ;0; 
130;HS;11605133;5; ;5;16275875;10093007;11026826;21429392;10252954;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573669;166392;0; ;0; 
131;HS;11605184;11;A;11A;16275875;10093007;11026826;21429392;10252954;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573311;166324;0; ;0; 
132;HS;11605249;14; ;14;16275875;10093007;11026826;21429392;10252954;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572966;165887;0; ;0; 
133;HS;11605478;29; ;29;16275875;10093007;11026826;21429392;10252954;2016-06-02 0:00:00;2016-06-02 0:00:00;V;573386;166739;0; ;0; 
134;HS;11635989;87; ;87;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;569257;168009;0; ;0; 
135;HS;11636055;93; ;93;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;568303;167580;0; ;0; 
136;HS;11636080;96;A;96A;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;568950;167717;0; ;0; 
137;HS;11636136;99; ;99;16276286;10093414;11026826;21429392;10252997;2016-06-02 0:00:00;2016-06-02 0:00:00;V;568839;166971;0; ;0; 
138;HS;11636527;10; ;10;16276308;10093449;11026826;21432237;10255015;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575568;161711;0; ;3046;Spodnji Ivanjci
139;HS;11636560;14;A;14A;16276308;10093449;11026826;21432237;10255015;2016-06-02 0:00:00;2016-06-02 0:00:00;V;575560;161524;0; ;3046;Spodnji Ivanjci
140;HS;11606083;2; ;2;16275891;10093023;11026826;21432237;10255228;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572297;163808;0; ;0; 
141;HS;11606113;4; ;4;16275891;10093023;11026826;21432237;10255228;2016-06-02 0:00:00;2016-06-02 0:00:00;V;572176;164098;0; ;0; 
142;HS;11606318;18;A;18A;16275891;10093023;11026826;21432237;10255228;2016-06-02 0:00:00;2016-06-02 0:00:00;V;570859;164350;0; ;0; 
143;HS;11609724;30; ;30;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578285;168774;3064;Gornja Radgona;3081;Mele
144;HS;11609732;31;A;31A;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578273;168810;3064;Gornja Radgona;3081;Mele
145;HS;11609759;31; ;31;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578253;168822;3064;Gornja Radgona;3081;Mele
146;HS;11609783;37; ;37;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578236;168726;3064;Gornja Radgona;3081;Mele
147;HS;11609791;38; ;38;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578231;168749;3064;Gornja Radgona;3081;Mele
148;HS;11609805;39; ;39;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578201;168850;3064;Gornja Radgona;3081;Mele
149;HS;11609821;41; ;41;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578195;168900;3064;Gornja Radgona;3081;Mele
150;HS;11609848;43; ;43;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578180;168920;3064;Gornja Radgona;3081;Mele
151;HS;16551279;23;A;23A;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578418;168788;3064;Gornja Radgona;3081;Mele
152;HS;11609309;1;A;1A;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;577550;169119;3064;Gornja Radgona;0; 
153;HS;11609317;1; ;1;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;577514;169126;3064;Gornja Radgona;0; 
154;HS;11609333;4; ;4;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578247;168950;3064;Gornja Radgona;3081;Mele
155;HS;11609368;7; ;7;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578446;169003;0; ;0; 
156;HS;11609384;10; ;10;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578398;168863;3064;Gornja Radgona;3081;Mele
157;HS;11609406;13; ;13;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578440;168849;3064;Gornja Radgona;3081;Mele
158;HS;11609414;14; ;14;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578470;168834;3064;Gornja Radgona;3081;Mele
159;HS;11609422;15; ;15;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578488;168822;3064;Gornja Radgona;3081;Mele
160;HS;11609473;18;A;18A;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578484;168757;3064;Gornja Radgona;3081;Mele
161;HS;11609490;19;A;19A;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578527;168661;3064;Gornja Radgona;3081;Mele
162;HS;11609503;19; ;19;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578559;168693;3064;Gornja Radgona;3081;Mele
163;HS;11609511;20;A;20A;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578418;168666;3064;Gornja Radgona;3081;Mele
164;HS;11609520;20;B;20B;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578398;168640;3064;Gornja Radgona;3081;Mele
165;HS;11609538;20;C;20C;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578412;168620;3064;Gornja Radgona;3081;Mele
166;HS;11609546;20;D;20D;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578431;168609;3064;Gornja Radgona;3081;Mele
167;HS;11609554;20; ;20;16275956;10093082;11026826;21431745;19129179;2006-04-18 0:00:00;2006-04-20 0:00:00;V;578451;168697;3064;Gornja Radgona;3081;Mele
