HSMID	ULICA	LABELA	NASLOV	STALNO	ZACASNO	VODA	KAN.	SMETI	GREZNICA	CADIS
11635415	Spodnja Ščavnica	45A	Spodnja Ščavnica 45A	2	0	3	0	1	1	1
11635512	Spodnja Ščavnica	50	Spodnja Ščavnica 50	3	0	0	0	1	1	1
11635601	Spodnja Ščavnica	57B	Spodnja Ščavnica 57B	3	0	1	0	1	1	1
11635865	Spodnja Ščavnica	77	Spodnja Ščavnica 77	2	0	3	0	1	1	1
11635873	Spodnja Ščavnica	78	Spodnja Ščavnica 78	7	0	3	0	1	1	1
11635903	Spodnja Ščavnica	81B	Spodnja Ščavnica 81B	3	0	3	0	1	1	1
11635954	Spodnja Ščavnica	85	Spodnja Ščavnica 85	5	0	3	0	0	0	1
19131386	Očeslavci	10A	Očeslavci 10A	4	0	1	0	1	1	1
19130398	Plitvički Vrh	7A	Plitvički Vrh 7A	4	0	1	0	1	1	1
11588352	Lackova ulica	18	Lackova ulica 18	3	0	1	1	0	1	1
19129942	Radvenci	11	Radvenci 11	0	0	0	0	0	0	0
11620094	Police	23	Police 23	2	0	1	0	1	1	1
11636632	Spodnji Ivanjci	19	Spodnji Ivanjci 19	0	0	1	0	1	0	1
11636659	Spodnji Ivanjci	20	Spodnji Ivanjci 20	2	1	1	0	1	1	1
11636683	Spodnji Ivanjci	23	Spodnji Ivanjci 23	1	0	1	0	1	1	1
11636713	Spodnji Ivanjci	25	Spodnji Ivanjci 25	4	0	1	0	1	1	1
11638112	Stavešinci	7	Stavešinci 7	1	0	0	0	1	1	1
11638287	Stavešinski Vrh	4	Stavešinski Vrh 4	0	0	1	0	1	0	1
11638295	Stavešinski Vrh	5	Stavešinski Vrh 5	3	0	1	0	1	1	1
11638317	Stavešinski Vrh	7	Stavešinski Vrh 7	4	0	1	0	1	1	1
11638325	Stavešinski Vrh	8	Stavešinski Vrh 8	4	0	1	0	1	1	1
11638465	Stavešinski Vrh	20A	Stavešinski Vrh 20A	2	0	1	0	1	1	1
11638473	Stavešinski Vrh	20B	Stavešinski Vrh 20B	0	0	1	0	1	0	1
11638546	Stavešinski Vrh	26	Stavešinski Vrh 26	3	0	1	0	0	0	1
11638597	Stavešinski Vrh	30A	Stavešinski Vrh 30A	4	0	1	0	1	1	1
11638627	Stavešinski Vrh	31A	Stavešinski Vrh 31A	4	0	1	0	1	1	1
11638643	Stavešinski Vrh	32	Stavešinski Vrh 32	3	0	1	0	1	1	1
11638686	Stavešinski Vrh	36	Stavešinski Vrh 36	2	0	1	0	1	1	1
11638694	Stavešinski Vrh	37	Stavešinski Vrh 37	5	0	1	0	1	1	1
11638716	Stavešinski Vrh	39A	Stavešinski Vrh 39A	3	0	1	0	1	1	1
11642802	Zagajski Vrh	2	Zagajski Vrh 2	3	0	3	0	1	1	1
11642870	Zagajski Vrh	8A	Zagajski Vrh 8A	1	0	3	0	1	1	1
11642900	Zagajski Vrh	10	Zagajski Vrh 10	3	0	3	0	1	1	1
11642926	Zagajski Vrh	12A	Zagajski Vrh 12A	2	0	3	0	1	1	1
11642942	Zagajski Vrh	13A	Zagajski Vrh 13A	1	1	3	0	1	1	1
11643230	Zagajski Vrh	37	Zagajski Vrh 37	2	0	3	0	1	1	1
11643329	Zagajski Vrh	42	Zagajski Vrh 42	0	0	3	0	1	0	1
11643574	Zbigovci	18	Zbigovci 18	4	0	1	0	1	1	1
11643779	Zbigovci	32	Zbigovci 32	6	0	1	0	1	1	1
11643795	Zbigovci	34	Zbigovci 34	0	0	0	0	0	0	0
11643868	Zbigovci	40A	Zbigovci 40A	0	0	1	0	1	1	1
11643949	Zbigovci	48	Zbigovci 48	4	0	1	0	1	1	1
11643213	Zagajski Vrh	36A	Zagajski Vrh 36A	0	0	0	0	0	0	0
11588328	Lackova ulica	15	Lackova ulica 15	5	0	0	1	0	1	1
11606601	Lokavci	43A	Lokavci 43A	2	0	3	0	1	1	1
11606709	Lomanoše	5C	Lomanoše 5C	3	0	1	0	1	1	1
11606717	Lomanoše	5	Lomanoše 5	0	0	0	0	0	0	0
11606903	Lomanoše	12B	Lomanoše 12B	4	0	1	0	1	1	1
11607284	Lomanoše	40B	Lomanoše 40B	0	0	0	0	0	0	0
11607411	Lomanoše	47A	Lomanoše 47A	4	0	0	0	1	1	1
11607462	Lomanoše	50	Lomanoše 50	0	0	1	0	1	0	1
11643566	Zbigovci	17	Zbigovci 17	2	0	1	0	1	1	1
11604099	Kunova	4	Kunova 4	0	0	0	0	0	0	0
11604102	Kunova	5	Kunova 5	5	0	3	0	1	1	1
11604200	Kunova	14	Kunova 14	0	0	0	0	0	0	0
11604463	Kunova	35A	Kunova 35A	6	0	3	0	1	1	1
11604480	Kunova	36A	Kunova 36A	0	0	0	0	0	0	0
11605133	Lastomerci	5	Lastomerci 5	0	0	1	0	1	1	1
11605184	Lastomerci	11A	Lastomerci 11A	0	0	1	0	1	0	1
11605249	Lastomerci	14	Lastomerci 14	3	0	0	0	0	0	0
11605478	Lastomerci	29	Lastomerci 29	2	0	1	0	1	1	1
11635989	Spodnja Ščavnica	87	Spodnja Ščavnica 87	6	0	3	0	1	1	1
11636055	Spodnja Ščavnica	93	Spodnja Ščavnica 93	0	0	3	0	1	0	1
11636080	Spodnja Ščavnica	96A	Spodnja Ščavnica 96A	3	0	0	0	1	1	1
11636136	Spodnja Ščavnica	99	Spodnja Ščavnica 99	4	0	3	0	0	1	1
11636527	Spodnji Ivanjci	10	Spodnji Ivanjci 10	7	0	1	0	0	0	1
11636560	Spodnji Ivanjci	14A	Spodnji Ivanjci 14A	1	0	1	0	1	0	1
11606083	Lokavci	2	Lokavci 2	3	0	0	0	1	1	1
11606113	Lokavci	4	Lokavci 4	0	0	0	0	0	0	0
11606318	Lokavci	18A	Lokavci 18A	1	0	3	0	1	1	1
11609724	Mele	30	Mele 30	2	0	1	1	0	1	1
11609732	Mele	31A	Mele 31A	1	0	1	1	0	1	1
11609759	Mele	31	Mele 31	3	0	1	1	0	0	1
11609783	Mele	37	Mele 37	1	0	0	0	0	1	1
11609791	Mele	38	Mele 38	5	0	1	1	0	1	1
11609805	Mele	39	Mele 39	3	0	1	1	0	1	1
11609821	Mele	41	Mele 41	1	0	1	0	0	0	1
11609848	Mele	43	Mele 43	2	0	1	1	0	1	1
16551279	Mele	23A	Mele 23A	4	0	1	1	0	1	1
11609309	Mele	1A	Mele 1A	2	1	1	0	1	1	1
11609317	Mele	1	Mele 1	1	0	1	0	1	1	1
11609333	Mele	4	Mele 4	3	0	1	1	0	1	1
11609368	Mele	7	Mele 7	0	0	0	0	0	0	0
11609384	Mele	10	Mele 10	5	0	1	0	0	0	1
11609406	Mele	13	Mele 13	2	0	1	1	0	1	1
11609414	Mele	14	Mele 14	4	1	1	1	0	1	1
11609422	Mele	15	Mele 15	2	0	1	1	0	1	1
11609473	Mele	18A	Mele 18A	2	0	1	1	0	1	1
11609490	Mele	19A	Mele 19A	5	0	1	1	0	1	1
11609503	Mele	19	Mele 19	3	0	1	1	0	1	1
11609511	Mele	20A	Mele 20A	2	0	1	1	0	1	1
11609520	Mele	20B	Mele 20B	0	0	1	1	0	1	1
11609538	Mele	20C	Mele 20C	2	0	1	1	0	1	1
11609546	Mele	20D	Mele 20D	5	0	1	1	0	1	1
11609554	Mele	20	Mele 20	1	0	1	1	0	1	1
11609562	Mele	21A	Mele 21A	0	0	1	1	0	0	1
11609589	Mele	21B	Mele 21B	2	0	1	1	0	1	1
11609597	Mele	21C	Mele 21C	5	0	1	1	0	1	1
11609619	Mele	21	Mele 21	7	0	1	1	0	1	1
19130240	Lomanoše	19A	Lomanoše 19A	4	1	1	0	1	1	1
19130193	Negova	45B	Negova 45B	3	0	3	0	0	1	1
19130304	Zbigovci	47	Zbigovci 47	2	0	1	0	1	1	1
19130266	Ljutomerska cesta	47	Ljutomerska cesta 47	0	0	1	1	0	0	1
11636446	Spodnji Ivanjci	5	Spodnji Ivanjci 5	7	0	1	0	0	1	1
19131122	Prežihova ulica	2B	Prežihova ulica 2B	3	1	1	1	0	1	1
19130614	Hercegovščak	44C	Hercegovščak 44C	2	0	1	0	1	1	1
11638929	Stavešinski Vrh	51B	Stavešinski Vrh 51B	0	1	1	0	1	1	1
11638864	Stavešinski Vrh	50A	Stavešinski Vrh 50A	1	0	1	0	1	1	1
11614710	Očeslavci	51	Očeslavci 51	0	1	3	0	1	1	1
11599516	Ivanjševski Vrh	64C	Ivanjševski Vrh 64C	0	0	1	0	1	0	1
11620272	Police	40	Police 40	1	0	1	0	1	1	1
11599559	Ivanjševski Vrh	65B	Ivanjševski Vrh 65B	1	0	1	0	1	1	1
11620507	Police	61	Police 61	1	0	1	0	1	1	1
19129110	Ivanjševski Vrh	8A	Ivanjševski Vrh 8A	2	0	1	0	1	1	1
11583644	Črešnjevci	164	Črešnjevci 164	3	0	1	1	0	1	1
19132358	Police	29	Police 29	5	0	1	0	1	1	1
19132315	Ljutomerska cesta	28C	Ljutomerska cesta 28C	0	0	1	1	0	1	1
11599494	Ivanjševski Vrh	64A	Ivanjševski Vrh 64A	0	0	1	0	1	0	1
11599532	Ivanjševski Vrh	65A	Ivanjševski Vrh 65A	4	0	1	0	1	1	1
11583555	Črešnjevci	155	Črešnjevci 155	6	0	1	1	0	1	1
11620558	Police	66	Police 66	2	0	1	0	1	1	1
11614680	Očeslavci	48	Očeslavci 48	0	0	3	0	1	1	1
11583512	Črešnjevci	153A	Črešnjevci 153A	6	0	1	1	0	1	1
11583652	Črešnjevci	165	Črešnjevci 165	0	0	0	0	0	0	0
11614540	Očeslavci	40A	Očeslavci 40A	0	0	1	0	1	0	1
11614531	Očeslavci	39	Očeslavci 39	0	0	0	0	0	0	0
11599010	Ivanjševski Vrh	29A	Ivanjševski Vrh 29A	0	0	1	0	1	0	1
11599028	Ivanjševski Vrh	29	Ivanjševski Vrh 29	4	0	1	0	1	0	1
11583636	Črešnjevci	163	Črešnjevci 163	6	0	1	1	0	1	1
11614701	Očeslavci	50	Očeslavci 50	0	0	3	0	1	0	1
11583628	Črešnjevci	162	Črešnjevci 162	0	0	0	0	0	0	0
19132056	Lokavci	12	Lokavci 12	0	0	0	0	0	0	0
11638902	Stavešinski Vrh	51A	Stavešinski Vrh 51A	2	0	1	0	1	1	1
19132102	Očeslavci	39B	Očeslavci 39B	1	0	0	0	1	1	1
19132170	Ivanjševski Vrh	32A	Ivanjševski Vrh 32A	0	0	1	0	1	0	1
16394998	Rodmošci	11B	Rodmošci 11B	0	0	1	0	1	0	1
11638872	Stavešinski Vrh	50B	Stavešinski Vrh 50B	2	0	1	0	1	1	1
11629849	Rodmošci	2	Rodmošci 2	2	0	1	0	1	1	1
19133028	Kocljeva ulica	21	Kocljeva ulica 21	38	3	0	0	0	0	1
19132366	Norički Vrh	29	Norički Vrh 29	3	0	1	1	0	1	1
11644147	Zbigovci	65	Zbigovci 65	5	0	1	0	1	1	1
11629334	Radvenci	35	Radvenci 35	1	0	0	0	1	1	1
19128334	Ptujska Cesta	45A	Ptujska Cesta 45A	3	0	1	0	1	1	1
11620892	Police	96	Police 96	3	0	1	0	1	1	1
19119777	Stavešinski Vrh	33	Stavešinski Vrh 33	4	0	1	0	1	1	1
19119807	Ljutomerska cesta	34A	Ljutomerska cesta 34A	0	0	0	0	0	0	0
19119858	Lastomerci	4A	Lastomerci 4A	4	0	0	0	1	1	1
19120112	Črešnjevci	152A	Črešnjevci 152A	4	0	1	1	0	1	1
19120970	Plitvički Vrh	20A	Plitvički Vrh 20A	4	0	1	0	1	1	1
19120988	Orehovci	12A	Orehovci 12A	5	0	1	0	1	1	1
19122123	Črešnjevci	232A	Črešnjevci 232A	1	0	1	0	0	0	1
19122247	Črešnjevci	69	Črešnjevci 69	4	0	1	1	0	1	1
19124649	Lastomerci	5A	Lastomerci 5A	1	0	1	0	1	1	1
19124690	Police	94A	Police 94A	2	0	1	0	1	1	1
19124860	Gornji Ivanjci	25	Gornji Ivanjci 25	0	0	0	0	0	0	0
19125017	Črešnjevci	32B	Črešnjevci 32B	3	0	1	1	0	1	1
19125220	Stavešinski Vrh	43A	Stavešinski Vrh 43A	2	0	1	0	1	1	1
19125700	Hercegovščak	30A	Hercegovščak 30A	2	0	1	0	1	1	1
19127249	Plitvički Vrh	24B	Plitvički Vrh 24B	4	0	1	0	1	1	1
19127931	Negova	91A	Negova 91A	0	1	3	0	0	0	1
11607454	Lomanoše	49	Lomanoše 49	3	0	0	0	1	1	1
19132072	Plitvički Vrh	1B	Plitvički Vrh 1B	1	0	1	0	1	1	1
11615848	Orehovci	2	Orehovci 2	3	0	1	0	1	1	1
19133206	Negova	126A	Negova 126A	4	0	0	0	1	1	1
11582052	Črešnjevci	9	Črešnjevci 9	2	0	1	0	0	1	1
19128407	Črešnjevci	70	Črešnjevci 70	1	0	1	1	0	1	1
19128393	Spodnja Ščavnica	96C	Spodnja Ščavnica 96C	1	0	3	0	1	1	1
11636098	Spodnja Ščavnica	96B	Spodnja Ščavnica 96B	3	0	0	0	1	1	1
19128369	Očeslavci	38B	Očeslavci 38B	2	0	1	0	1	1	1
19128547	Črešnjevci	66	Črešnjevci 66	5	0	1	1	0	1	1
19117928	Ljutomerska cesta	36	Ljutomerska cesta 36	0	0	1	1	0	1	1
19118045	Radvenci	40A	Radvenci 40A	3	0	3	0	1	1	1
19118053	Hercegovščak	32B	Hercegovščak 32B	0	0	1	0	1	1	1
19118088	Ivanjševci ob Ščavnici	8A	Ivanjševci ob Ščavnici 8A	4	0	1	0	1	1	1
19118134	Zbigovci	65C	Zbigovci 65C	5	0	1	0	1	1	1
19118266	Očeslavci	14A	Očeslavci 14A	6	0	3	0	1	1	1
19118274	Lomanoše	5B	Lomanoše 5B	5	0	1	0	1	1	1
19118347	Gorkega ulica	7	Gorkega ulica 7	3	0	1	1	0	1	1
16354856	Lokavci	40A	Lokavci 40A	2	0	3	0	1	1	1
16354953	Zbigovci	12A	Zbigovci 12A	6	0	1	0	1	1	1
11592732	Mladinska ulica	9	Mladinska ulica 9	36	1	1	1	0	0	1
11593135	Porabska ulica	8	Porabska ulica 8	17	1	1	1	0	0	1
19124924	Norički Vrh	18A	Norički Vrh 18A	4	0	1	1	0	1	1
19125343	Ljutomerska cesta	19A	Ljutomerska cesta 19A	2	0	0	1	0	1	1
19130207	Simoničev breg	22	Simoničev breg 22	4	0	1	1	0	1	1
11591973	Cesta na Stadion	1A	Cesta na Stadion 1A	0	0	1	1	0	1	1
11586953	Cankarjeva cesta	1	Cankarjeva cesta 1	5	0	0	1	0	1	1
11586961	Cankarjeva cesta	2	Cankarjeva cesta 2	0	0	1	1	0	1	1
11587003	Cankarjeva cesta	6	Cankarjeva cesta 6	1	0	1	0	1	1	1
11589804	Partizanska cesta	42	Partizanska cesta 42	0	0	1	1	0	1	1
11589847	Partizanska cesta	44	Partizanska cesta 44	4	0	1	1	0	1	1
11589863	Partizanska cesta	46	Partizanska cesta 46	0	0	1	1	0	0	1
11592813	Ob potoku	4	Ob potoku 4	4	0	1	1	0	1	1
11592821	Ob potoku	6	Ob potoku 6	6	0	1	1	0	1	1
11592830	Ob potoku	8	Ob potoku 8	2	0	1	1	0	1	1
19129837	Ob potoku	2A	Ob potoku 2A	4	0	1	1	0	1	1
19131238	Ob potoku	12	Ob potoku 12	4	0	1	0	0	1	1
11592449	Kocljeva ulica	4	Kocljeva ulica 4	0	0	1	1	0	1	1
11592708	Mladinska ulica	5	Mladinska ulica 5	32	1	1	1	0	0	1
11592716	Mladinska ulica	7	Mladinska ulica 7	28	2	1	1	0	0	1
11593143	Porabska ulica	10	Porabska ulica 10	16	0	1	1	0	0	1
11593151	Porabska ulica	12	Porabska ulica 12	15	0	1	1	0	0	1
11588638	Ljutomerska cesta	15	Ljutomerska cesta 15	2	0	0	1	0	1	1
11588662	Ljutomerska cesta	21	Ljutomerska cesta 21	1	0	0	1	0	1	1
11588689	Ljutomerska cesta	23	Ljutomerska cesta 23	4	0	0	0	0	1	1
19131009	Vrečova cesta	10A	Vrečova cesta 10A	3	0	0	0	0	1	1
19138615	Ob progi	15	Ob progi 15	4	0	1	0	0	1	1
19138402	Ptujska Cesta	33A	Ptujska Cesta 33A	0	0	0	0	0	0	0
19138453	Črešnjevci	81B	Črešnjevci 81B	0	0	1	0	0	1	1
11584241	Črešnjevci	219	Črešnjevci 219	0	0	1	0	1	0	1
19138488	Črešnjevci	99	Črešnjevci 99	0	0	1	1	0	1	1
19137988	Negova	83A	Negova 83A	0	0	3	0	1	1	1
11629270	Radvenci	29	Radvenci 29	1	0	0	0	0	0	0
19137490	Kajuhova ulica	18	Kajuhova ulica 18	4	0	1	1	0	1	1
19138267	Ivanjski Vrh	23	Ivanjski Vrh 23	0	0	0	0	0	0	0
19137970	Črešnjevci	61C	Črešnjevci 61C	0	0	1	1	0	0	1
19138089	Kajuhova ulica	9	Kajuhova ulica 9	3	0	1	1	0	1	1
19137643	Črešnjevci	148A	Črešnjevci 148A	0	0	1	0	1	1	1
19138216	Spodnji Ivanjci	6C	Spodnji Ivanjci 6C	0	0	1	0	1	1	1
19137864	Strma ulica	5B	Strma ulica 5B	1	0	1	1	0	1	1
19137651	Zbigovci	24C	Zbigovci 24C	0	4	1	0	1	1	1
11636764	Spodnji Ivanjci	30	Spodnji Ivanjci 30	4	0	0	0	0	1	1
19137716	Črešnjevci	168	Črešnjevci 168	4	0	1	1	0	1	1
19138739	Ulica Marije Rožman	12	Ulica Marije Rožman 12	1	0	1	0	0	1	1
11635245	Spodnja Ščavnica	37A	Spodnja Ščavnica 37A	3	0	3	0	1	1	1
11620698	Police	77	Police 77	0	0	1	0	1	0	1
19136256	Radvenci	14A	Radvenci 14A	1	1	3	0	1	1	1
11609376	Mele	8	Mele 8	3	0	1	1	0	1	1
11606750	Lomanoše	6	Lomanoše 6	0	0	0	0	0	0	0
11638775	Stavešinski Vrh	42	Stavešinski Vrh 42	2	0	1	0	1	1	1
19135438	Negova	124A	Negova 124A	3	0	0	0	0	0	0
11638155	Stavešinci	10	Stavešinci 10	6	0	1	0	1	1	1
19135110	Rodmošci	10A	Rodmošci 10A	0	0	1	0	1	0	1
19138208	Hercegovščak	37B	Hercegovščak 37B	4	0	1	0	1	1	1
19135284	Lokavci	2A	Lokavci 2A	3	0	0	0	1	1	1
11644066	Zbigovci	61	Zbigovci 61	2	0	1	0	1	1	1
19135837	Lastomerci	17A	Lastomerci 17A	2	0	0	0	0	0	0
19131980	Kunova	17B	Kunova 17B	0	0	3	0	1	1	1
19133010	Črešnjevci	135A	Črešnjevci 135A	0	0	1	0	1	1	1
19135420	Cankarjeva cesta	24	Cankarjeva cesta 24	3	0	1	0	0	1	1
19119513	Strma ulica	5A	Strma ulica 5A	0	0	1	1	0	0	1
19136264	Rodmošci	7	Rodmošci 7	0	0	1	0	0	1	1
11612318	Negova	34	Negova 34	4	0	3	1	0	1	1
11593917	Vaupotičeva ulica	2	Vaupotičeva ulica 2	2	0	1	1	0	1	1
19119904	Zbigovci	2C	Zbigovci 2C	4	0	1	0	1	1	1
11621805	Ptujska Cesta	31A	Ptujska Cesta 31A	0	1	1	0	1	1	1
11643671	Zbigovci	23A	Zbigovci 23A	0	0	1	0	1	1	1
19134849	Ivanjski Vrh	3C	Ivanjski Vrh 3C	3	0	0	0	1	1	1
11583741	Črešnjevci	174	Črešnjevci 174	0	0	0	0	0	0	0
19120040	Orehovski Vrh	30A	Orehovski Vrh 30A	3	0	0	0	1	1	1
19134628	Stavešinci	3B	Stavešinci 3B	4	0	1	0	1	1	1
11612644	Negova	65	Negova 65	2	0	3	0	1	1	1
11612733	Negova	73	Negova 73	0	0	3	0	0	1	1
11612822	Negova	82	Negova 82	0	0	0	0	0	0	0
11612890	Negova	88	Negova 88	1	0	3	0	1	0	1
11612911	Negova	90	Negova 90	6	0	3	0	1	1	1
11609449	Mele	16	Mele 16	1	0	1	1	0	0	1
11609830	Mele	42	Mele 42	5	0	1	1	0	1	1
11612164	Negova	19	Negova 19	4	0	3	0	1	1	1
11612415	Negova	43	Negova 43	1	0	0	0	1	0	1
11612431	Negova	45	Negova 45	6	0	3	0	1	1	1
11612539	Negova	53	Negova 53	6	0	3	0	1	1	1
19131840	Lastomerci	12C	Lastomerci 12C	0	1	1	0	1	1	1
11592180	Gasilska cesta	8	Gasilska cesta 8	1	0	1	1	0	1	1
11598854	Ivanjševski Vrh	14	Ivanjševski Vrh 14	2	0	1	0	1	1	1
11612296	Negova	32	Negova 32	6	0	3	1	0	1	1
11612288	Negova	31	Negova 31	3	0	3	1	0	1	1
11612270	Negova	28	Negova 28	5	0	3	1	0	1	1
11621813	Ptujska Cesta	31B	Ptujska Cesta 31B	0	0	1	0	1	0	1
11612245	Negova	25	Negova 25	3	0	3	1	0	1	1
11583377	Črešnjevci	139	Črešnjevci 139	3	0	1	0	1	1	1
11583440	Črešnjevci	146	Črešnjevci 146	2	0	1	0	1	1	1
16394980	Negova	16A	Negova 16A	0	0	3	1	0	0	1
11643370	Zbigovci	2A	Zbigovci 2A	2	0	1	0	1	1	1
19131483	Plitvički Vrh	18A	Plitvički Vrh 18A	0	0	1	0	1	0	1
19131491	Lackova ulica	22	Lackova ulica 22	0	0	1	1	0	1	1
11612253	Negova	26	Negova 26	5	0	3	1	0	1	1
19135101	Ivanjševski Vrh	61B	Ivanjševski Vrh 61B	1	0	1	0	1	1	1
11615961	Orehovci	10	Orehovci 10	3	0	1	0	1	1	1
